"","prename","week_end","age","numtotal_atleast1dose","numtotal_partially","numtotal_fully","numtotal_additional","numtotal_2nd_additional","numtotal_recent_fullyoradditional","proptotal_atleast1dose","proptotal_partially","proptotal_fully","proptotal_additional","proptotal_2nd_additional","proptotal_recent_fullyoradditional","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Unnamed: 22","Unnamed: 23","Unnamed: 24"
"1","Canada",2020-12-19,"80+",335,335,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Canada",2020-12-19,"All ages",12368,12368,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Newfoundland and Labrador",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Newfoundland and Labrador",2020-12-19,"All ages",972,972,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Nova Scotia",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Nova Scotia",2020-12-19,"All ages",1092,1092,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Quebec",2020-12-19,"80+",334,334,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Quebec",2020-12-19,"All ages",4728,4728,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Manitoba",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Manitoba",2020-12-19,"All ages",894,894,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Saskatchewan",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Saskatchewan",2020-12-19,"All ages",1048,1048,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","British Columbia",2020-12-19,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","British Columbia",2020-12-19,"All ages",3634,3634,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Yukon",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Yukon",2020-12-19,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Northwest Territories",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Northwest Territories",2020-12-19,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Nunavut",2020-12-19,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Nunavut",2020-12-19,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Canada",2020-12-26,"80+",2229,2229,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Canada",2020-12-26,"All ages",46180,46180,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Newfoundland and Labrador",2020-12-26,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Newfoundland and Labrador",2020-12-26,"All ages",1785,1785,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Prince Edward Island",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Prince Edward Island",2020-12-26,"All ages",1152,1152,0,NA,NA,NA,0.7,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Nova Scotia",2020-12-26,"80+",5,5,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Nova Scotia",2020-12-26,"All ages",2218,2218,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","New Brunswick",2020-12-26,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","New Brunswick",2020-12-26,"All ages",2606,2606,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Quebec",2020-12-26,"80+",1731,1731,0,NA,NA,NA,0.4,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Quebec",2020-12-26,"All ages",17221,17221,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Manitoba",2020-12-26,"80+",2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Manitoba",2020-12-26,"All ages",2177,2177,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Saskatchewan",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Saskatchewan",2020-12-26,"All ages",1782,1782,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Alberta",2020-12-26,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Alberta",2020-12-26,"All ages",4792,4792,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","British Columbia",2020-12-26,"80+",489,489,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","British Columbia",2020-12-26,"All ages",12447,12447,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Yukon",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Yukon",2020-12-26,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Northwest Territories",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Northwest Territories",2020-12-26,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Nunavut",2020-12-26,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Nunavut",2020-12-26,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Canada",2021-01-02,"80+",6161,6161,0,NA,NA,NA,0.6,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Canada",2021-01-02,"All ages",82530,82530,0,NA,NA,NA,0.4,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Newfoundland and Labrador",2021-01-02,"80+",1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Newfoundland and Labrador",2021-01-02,"All ages",1785,1785,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Prince Edward Island",2021-01-02,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Prince Edward Island",2021-01-02,"All ages",1674,1674,0,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Nova Scotia",2021-01-02,"80+",9,9,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Nova Scotia",2021-01-02,"All ages",2720,2720,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","New Brunswick",2021-01-02,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","New Brunswick",2021-01-02,"All ages",2886,2886,NA,NA,NA,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Quebec",2021-01-02,"80+",1795,1795,NA,NA,NA,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Quebec",2021-01-02,"All ages",28310,28310,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Manitoba",2021-01-02,"80+",2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Manitoba",2021-01-02,"All ages",3432,3432,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Saskatchewan",2021-01-02,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Saskatchewan",2021-01-02,"All ages",3540,3540,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Alberta",2021-01-02,"80+",708,708,0,NA,NA,NA,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Alberta",2021-01-02,"All ages",13383,13383,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","British Columbia",2021-01-02,"80+",3608,3608,0,NA,NA,NA,1.5,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","British Columbia",2021-01-02,"All ages",24670,24670,0,NA,NA,NA,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Yukon",2021-01-02,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Yukon",2021-01-02,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Northwest Territories",2021-01-02,"80+",38,38,0,NA,NA,NA,7.5,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Northwest Territories",2021-01-02,"All ages",130,130,0,NA,NA,NA,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Nunavut",2021-01-02,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Nunavut",2021-01-02,"All ages",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Canada",2021-01-09,"80+",32271,32269,2,NA,NA,NA,3.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Canada",2021-01-09,"All ages",217393,212866,4527,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Newfoundland and Labrador",2021-01-09,"80+",2,2,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Newfoundland and Labrador",2021-01-09,"All ages",2847,1994,853,NA,NA,NA,0.5,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Prince Edward Island",2021-01-09,"80+",221,221,0,NA,NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Prince Edward Island",2021-01-09,"All ages",2485,2485,0,NA,NA,NA,1.5,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Nova Scotia",2021-01-09,"80+",9,9,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Nova Scotia",2021-01-09,"All ages",2755,1679,1076,NA,NA,NA,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","New Brunswick",2021-01-09,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","New Brunswick",2021-01-09,"All ages",6241,6241,NA,NA,NA,NA,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Quebec",2021-01-09,"80+",13419,13419,NA,NA,NA,NA,3.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Quebec",2021-01-09,"All ages",83298,83298,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Manitoba",2021-01-09,"80+",37,36,1,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Manitoba",2021-01-09,"All ages",8694,7814,880,NA,NA,NA,0.6,0.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Saskatchewan",2021-01-09,"80+",105,105,0,NA,NA,NA,0.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Saskatchewan",2021-01-09,"All ages",5528,4569,959,NA,NA,NA,0.5,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Alberta",2021-01-09,"80+",7727,7726,1,NA,NA,NA,5.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Alberta",2021-01-09,"All ages",44298,43574,724,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","British Columbia",2021-01-09,"80+",10567,10567,0,NA,NA,NA,4.3,4.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","British Columbia",2021-01-09,"All ages",60215,60180,35,NA,NA,NA,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Yukon",2021-01-09,"80+",82,82,0,NA,NA,NA,9.2,9.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Yukon",2021-01-09,"All ages",495,495,0,NA,NA,NA,1.1,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Northwest Territories",2021-01-09,"80+",102,102,0,NA,NA,NA,16.4,16.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Northwest Territories",2021-01-09,"All ages",511,511,0,NA,NA,NA,1.2,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Nunavut",2021-01-09,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Nunavut",2021-01-09,"All ages",26,26,0,NA,NA,NA,0.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Canada",2021-01-16,"80+",60972,60962,10,NA,NA,NA,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Canada",2021-01-16,"All ages",564976,538207,26769,NA,NA,NA,1.5,1.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Newfoundland and Labrador",2021-01-16,"80+",218,217,1,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Newfoundland and Labrador",2021-01-16,"All ages",4250,2516,1734,NA,NA,NA,0.8,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Prince Edward Island",2021-01-16,"80+",1052,1052,0,NA,NA,NA,14.2,14.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Prince Edward Island",2021-01-16,"All ages",4308,2913,1395,NA,NA,NA,2.6,1.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Nova Scotia",2021-01-16,"80+",276,271,5,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Nova Scotia",2021-01-16,"All ages",5740,3533,2207,NA,NA,NA,0.6,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","New Brunswick",2021-01-16,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","New Brunswick",2021-01-16,"All ages",7918,5353,2565,NA,NA,NA,1,0.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Quebec",2021-01-16,"80+",20923,20923,NA,NA,NA,NA,4.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Quebec",2021-01-16,"All ages",145783,145783,NA,NA,NA,NA,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Ontario",2021-01-16,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Ontario",2021-01-16,"All ages",189240,178383,10857,NA,NA,NA,1.3,1.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Manitoba",2021-01-16,"80+",754,751,3,NA,NA,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Manitoba",2021-01-16,"All ages",16499,14355,2144,NA,NA,NA,1.2,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Saskatchewan",2021-01-16,"80+",3006,3006,0,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Saskatchewan",2021-01-16,"All ages",14323,12578,1745,NA,NA,NA,1.2,1.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Alberta",2021-01-16,"80+",16719,16718,1,NA,NA,NA,11.6,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Alberta",2021-01-16,"All ages",81859,77784,4075,NA,NA,NA,1.8,1.8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","British Columbia",2021-01-16,"80+",17682,17682,0,NA,NA,NA,7.3,7.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","British Columbia",2021-01-16,"All ages",89715,89668,47,NA,NA,NA,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Yukon",2021-01-16,"80+",149,149,0,NA,NA,NA,16.6,16.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Yukon",2021-01-16,"All ages",1309,1309,0,NA,NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Northwest Territories",2021-01-16,"80+",151,151,0,NA,NA,NA,24.3,24.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Northwest Territories",2021-01-16,"All ages",1891,1891,0,NA,NA,NA,4.3,4.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Nunavut",2021-01-16,"80+",42,42,0,NA,NA,NA,19.8,19.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Nunavut",2021-01-16,"All ages",2141,2141,0,NA,NA,NA,5.4,5.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Canada",2021-01-23,"80+",91050,90670,380,NA,NA,NA,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Canada",2021-01-23,"All ages",775546,716237,59309,NA,NA,NA,2,1.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Newfoundland and Labrador",2021-01-23,"80+",649,648,1,NA,NA,NA,2.8,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Newfoundland and Labrador",2021-01-23,"All ages",7448,5711,1737,NA,NA,NA,1.4,1.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Prince Edward Island",2021-01-23,"80+",1344,1344,0,NA,NA,NA,18.2,18.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Prince Edward Island",2021-01-23,"All ages",5231,3339,1892,NA,NA,NA,3.2,2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Nova Scotia",2021-01-23,"80+",555,546,9,NA,NA,NA,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Nova Scotia",2021-01-23,"All ages",8288,5580,2708,NA,NA,NA,0.8,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","New Brunswick",2021-01-23,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","New Brunswick",2021-01-23,"All ages",11516,8675,2841,NA,NA,NA,1.5,1.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Quebec",2021-01-23,"80+",33047,33047,NA,NA,NA,NA,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Quebec",2021-01-23,"All ages",218827,218827,NA,NA,NA,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Ontario",2021-01-23,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Ontario",2021-01-23,"All ages",249132,217691,31441,NA,NA,NA,1.7,1.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Manitoba",2021-01-23,"80+",3555,3552,3,NA,NA,NA,6.4,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Manitoba",2021-01-23,"All ages",25839,22443,3396,NA,NA,NA,1.9,1.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Saskatchewan",2021-01-23,"80+",6199,6199,0,NA,NA,NA,12.3,12.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Saskatchewan",2021-01-23,"All ages",23687,21222,2465,NA,NA,NA,2,1.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Alberta",2021-01-23,"80+",18027,17666,361,NA,NA,NA,12.5,12.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Alberta",2021-01-23,"All ages",89557,80088,9469,NA,NA,NA,2,1.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","British Columbia",2021-01-23,"80+",26553,26547,6,NA,NA,NA,10.9,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","British Columbia",2021-01-23,"All ages",118152,114792,3360,NA,NA,NA,2.3,2.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Yukon",2021-01-23,"80+",553,553,0,NA,NA,NA,61.8,61.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Yukon",2021-01-23,"All ages",3950,3950,0,NA,NA,NA,9.2,9.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Northwest Territories",2021-01-23,"80+",492,492,0,NA,NA,NA,79.1,79.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Northwest Territories",2021-01-23,"All ages",9471,9471,0,NA,NA,NA,21.8,21.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Nunavut",2021-01-23,"80+",76,76,0,NA,NA,NA,35.8,35.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Nunavut",2021-01-23,"All ages",4448,4448,0,NA,NA,NA,11.3,11.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Canada",2021-01-30,"80+",101524,97143,4381,NA,NA,NA,5.9,5.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Canada",2021-01-30,"All ages",859297,745635,113662,NA,NA,NA,2.2,1.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Newfoundland and Labrador",2021-01-30,"80+",749,748,1,NA,NA,NA,3.2,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Newfoundland and Labrador",2021-01-30,"All ages",8353,5591,2762,NA,NA,NA,1.6,1.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Prince Edward Island",2021-01-30,"80+",1383,1151,232,NA,NA,NA,18.7,15.6,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Prince Edward Island",2021-01-30,"All ages",5286,2721,2565,NA,NA,NA,3.2,1.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Nova Scotia",2021-01-30,"80+",1012,1003,9,NA,NA,NA,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Nova Scotia",2021-01-30,"All ages",12090,9361,2729,NA,NA,NA,1.2,0.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","New Brunswick",2021-01-30,"80+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","New Brunswick",2021-01-30,"All ages",12791,8326,4465,NA,NA,NA,1.6,1.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Quebec",2021-01-30,"80+",37145,37145,NA,NA,NA,NA,8.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Quebec",2021-01-30,"All ages",239499,239499,NA,NA,NA,NA,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Ontario",2021-01-30,"80+",0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Ontario",2021-01-30,"All ages",270795,201946,68849,NA,NA,NA,1.8,1.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Manitoba",2021-01-30,"80+",6460,6449,11,NA,NA,NA,11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Manitoba",2021-01-30,"All ages",32441,23938,8503,NA,NA,NA,2.3,1.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Saskatchewan",2021-01-30,"80+",6882,6882,0,NA,NA,NA,13.6,13.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Saskatchewan",2021-01-30,"All ages",27235,24157,3078,NA,NA,NA,2.3,2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Alberta",2021-01-30,"80+",18337,14261,4076,NA,NA,NA,12.7,9.9,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Alberta",2021-01-30,"All ages",90238,74244,15994,NA,NA,NA,2,1.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","British Columbia",2021-01-30,"80+",28336,28321,15,NA,NA,NA,11.6,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","British Columbia",2021-01-30,"All ages",135503,130911,4592,NA,NA,NA,2.6,2.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Yukon",2021-01-30,"80+",641,641,0,NA,NA,NA,71.6,71.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Yukon",2021-01-30,"All ages",7355,7355,0,NA,NA,NA,17.1,17.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
